Count,GEOID,SOLE Place ID,SOLE State Place ID,State FIPS,SOLE Country Place ID,Place FIPS,GNIS feature_id,City name,UEI,State Code,US Census Place Name,State,Census Region,Census Division,SoLE region,,,,Population 2021,Population 2021 Bin,2020 Census GEOIDs,Population Decennial Census 2020,us_bls_laus,us_bls_oews,us_bls_oews_old,us_cdc_usaleep,us_cdc_nchs,us_census_sahie,us_education_edfacts,us_nces_piaac,us_fbi_ucr,IMLS,OECD,us_prosperitynow,UN Habitat,lat_osm,long_osm,us_epa_aqs
70,2965000,c-us-mo-stl,s-us-mo,29,n-us,65000,767557,St. Louis,GCQJDSKS8YU4,MO,St. Louis city,Missouri,Midwest,West North Central,Midwest,"St. Louis, Missouri",c-us-mo-stl,#N/A,309014,"274,001 - 320,000",2965000,301578,LAUCT296500000000003,,,,,,,,MOSPD0000,"ST. LOUIS, MO",,"St. Louis, MO",,38.6280278,-90.191015,"St. Louis, Missouri, USA"
112,2836000,c-us-ms-jan,s-us-ms,28,n-us,36000,2404779,Jackson,NKYGLQ4YLMT3,MS,Jackson city,Mississippi,South,East South Central,South Central,,,#N/A,149813,,2836000,153701,LAUCT283600000000003,,,,,,,,MS0250100,"JACKSON, MS",,"Jackson, MS",,32.31317,-90.2122,
116,3006550,c-us-mt-bil,s-us-mt,30,n-us,06550,2409849,Billings,FAEFYK4YL4M1,MT,Billings city,Montana,West,Mountain,Mountain West,,,#N/A,117453,,3006550,117116,LAUCT300655000000003,13740,880,,,,,,MT0560100,"BILLINGS, MT",,"Billings, MT",,45.78986,-108.54866,
16,3712000,c-us-nc-clt,s-us-nc,37,n-us,12000,2404032,Charlotte,Y84GJESBH8W5,NC,Charlotte city,North Carolina,South,South Atlantic,South Atlantic,"Charlotte, North Carolina",c-us-nc-clt,879697,309014,"680,001 - 9,000,000",3712000,874579,LAUCT371200000000003,,,,,,,,NC0600100,"CHARLOTTE, NC",,"Charlotte, NC",,35.2272086,-80.843083,"Charlotte, North Carolina, USA"
41,3755000,c-us-nc-rag,s-us-nc,37,n-us,55000,2404590,Raleigh,YDYNCVFA9NH4,NC,Raleigh city,North Carolina,South,South Atlantic,South Atlantic,"Raleigh, North Carolina",c-us-nc-rag,469502,309014,"320,001 - 480,000",3755000,467665,LAUCT375500000000003,,,,,,,,NC0920100,"RALEIGH, NC",,"Raleigh, NC",,35.7803977,-78.639099,"Raleigh, North Carolina, USA"
71,3728000,c-us-nc-gbo,s-us-nc,37,n-us,28000,2403745,Greensboro,CGWAKNW9BAD5,NC,Greensboro city,North Carolina,South,South Atlantic,South Atlantic,"Greensboro, North Carolina",c-us-nc-gbo,293310,309014,"274,001 - 320,000",3728000,299035,LAUCT372800000000003,,,,,,,,NC0410200,"GREENSBORO, NC",,"Greensboro, NC",,36.0726355,-79.791975,"Greensboro, North Carolina, USA"
76,3719000,c-us-nc-dur,s-us-nc,37,n-us,19000,2403521,Durham,SRPMEFTB1B54,NC,Durham city,North Carolina,South,South Atlantic,South Atlantic,"Durham, North Carolina",c-us-nc-dur,#N/A,309014,"274,001 - 320,000",3719000,283506,LAUCT371900000000003,,,,,,,,NC0320100,"DURHAM, NC",,"Durham, NC",,35.996653,-78.901805,"Durham, North Carolina, USA"
90,3775000,c-us-nc-int,s-us-nc,37,n-us,75000,2405771,Winston-Salem,E8LMSJ41W817,NC,Winston-Salem city,North Carolina,South,South Atlantic,South Atlantic,"Winston-Salem, North Carolina",c-us-nc-int,#N/A,309014,"0 - 274,000",3775000,249545,LAUCT377500000000003,,,,,,,,NC0340200,"WINSTON-SALEM, NC",,"Winston-Salem, NC",,36.0998131,-80.244052,"Winston-Salem, North Carolina, USA"
115,3825700,c-us-nd-far,s-us-nd,38,n-us,25700,1036030,Fargo,K2QJQZVH5PM6,ND,Fargo city,North Dakota,Midwest,West North Central,Midwest,,,#N/A,124843,,3825700,125990,LAUCT382570000000003,22020,2520,,,,,,ND0090200,"FARGO, ND",,"Fargo, ND",,46.86719,-96.82756,
39,3137000,c-us-ne-oma,s-us-ne,31,n-us,37000,2396064,Omaha,UGZQEBATAKU3,NE,Omaha city,Nebraska,Midwest,West North Central,Midwest,"Omaha, Nebraska",c-us-ne-oma,487299,309014,"480,001 - 680,000",3137000,486051,LAUCT313700000000003,36540,5920,,,,,,NB0280200,"OMAHA, NE",,"Omaha, NE",,41.2587459,-95.938376,"Omaha, Nebraska, USA"
74,3128000,c-us-ne-lnk,s-us-ne,31,n-us,28000,2395713,Lincoln,H6DFKBPHK6U6,NE,Lincoln city,Nebraska,Midwest,West North Central,Midwest,"Lincoln, Nebraska",c-us-ne-lnk,#N/A,309014,"274,001 - 320,000",3128000,291082,LAUCT312800000000003,30700,4360,,,,,,NB0550100,"LINCOLN, NE",,"Lincoln, NE",,40.8088861,-96.707775,"Lincoln, Nebraska, USA"
117,3345140,c-us-nh-mht,s-us-nh,33,n-us,45140,873658,Manchester,Z93ZBNUC43X8,NH,Manchester city,New Hampshire,Northeast,New England,Northeast,,,#N/A,115470,,3345140,115644,LAUCT334514000000003,,,,,,,,NH0063400,"MANCHESTER, NH",,"Manchester, NH",,42.98478,-71.44486,
63,3451000,c-us-nj-ewr,s-us-nj,34,n-us,51000,885317,Newark,JGDDJDL5BM13,NJ,Newark city,New Jersey,Northeast,Middle Atlantic,Northeast,"Newark, New Jersey",c-us-nj-ewr,309468,307176,"274,001 - 320,000",3451000,311549,LAUCT345100000000003,,,,,,,,NJNPD0000,"NEWARK, NJ",,"Newark, NJ",,40.735657,-74.172367,"Newark, New Jersey, USA"
72,3436000,c-us-nj-jec,s-us-nj,34,n-us,36000,885264,Jersey City,DF5YHW8K31G7,NJ,Jersey City city,New Jersey,Northeast,Middle Atlantic,Northeast,"Jersey City, New Jersey",c-us-nj-jec,292648,307176,"274,001 - 320,000",3436000,292449,LAUCT343600000000003,,,,,,,,NJ0090600,"JERSEY CITY, NJ",,"Jersey City, NJ",,40.7215682,-74.047455,"Jersey City, New Jersey, USA"
32,3502000,c-us-nm-abq,s-us-nm,35,n-us,02000,2409678,Albuquerque,L26ADC8DFL62,NM,Albuquerque city,New Mexico,West,Mountain,Mountain West,"Albuquerque, New Mexico",c-us-nm-abq,562591,307176,"480,001 - 680,000",3502000,564559,LAUCT350200000000003,10740,200,,,,,,NM0010100,"ALBUQUERQUE, NM",,"Albuquerque, NM",,35.0841034,-106.65099,"Albuquerque, New Mexico, USA"
26,3240000,c-us-nv-las,s-us-nv,32,n-us,40000,2411630,Las Vegas,HJS3TZHWWJX5,NV,Las Vegas city,Nevada,West,Mountain,Mountain West,"Las Vegas, Nevada",c-us-nv-las,#N/A,307176,"480,001 - 680,000",3240000,641903,LAUCT324000000000003,,,,,,,,NV0020100,"LAS VEGAS, NV",,"Las Vegas, NV",,36.1672559,-115.14852,"Las Vegas, Nevada, USA"
61,3231900,c-us-nv-hnz,s-us-nv,32,n-us,31900,2410741,Henderson,MAFGVZ6X4GA5,NV,Henderson city,Nevada,West,Mountain,Mountain West,"Henderson, Nevada",c-us-nv-hnz,#N/A,307176,"320,001 - 480,000",3231900,317610,LAUCT323190000000003,,,,,,,,NV0020300,"HENDERSON, NV",,"Henderson, NV",,36.0301134,-114.98262,"Henderson, Nevada, USA"
83,3260600,c-us-nv-rno,s-us-nv,32,n-us,60600,2410923,Reno,TH74SE96JVC7,NV,Reno city,Nevada,West,Mountain,Mountain West,"Reno, Nevada",c-us-nv-rno,268843,268843,"0 - 274,000",3260600,264165,LAUCT326060000000003,39900,6720,,,,,,NV0160100,"RENO, NV",,"Reno, NV",,39.5261206,-119.81266,"Reno, Nevada, USA"
85,3251800,c-us-nv-nvs,s-us-nv,32,n-us,51800,2411273,North Las Vegas,MJ9NM8SSYRD1,NV,North Las Vegas city,Nevada,West,Mountain,Mountain West,"North Las Vegas, Nevada",c-us-nv-nvs,263814,307176,"274,001 - 320,000",3251800,262527,LAUCT325180000000003,,,,,,,,NV0020200,"NORTH LAS VEGAS, NV",,"North Las Vegas, NV",,36.2005843,-115.12158,"North Las Vegas, Nevada, USA"
1,3651000,c-us-ny-nyc,s-us-ny,36,n-us,51000,2395220,New York,FPJVFG5SNT71,NY,New York city,New York,Northeast,Middle Atlantic,Northeast,"New York, New York",c-us-ny-nyc,8467513,268843,"680,001 - 9,000,000",3651000,8804190,LAUCT365100000000003,,,,,,"3600076, 3600077, 3600078, 3600079, 3600081, 3600083, 3600084, 3600085, 3600086, 3600087, 3600088, 3600090, 3600091,, 3600119, 3600092, 3600094, 3600095, 3600096, 3600120, 3600151, 3600152, 3600153, 3600121, 3600098, 3600122, 3600099, 3600123, 3600100, 3600101, 3600102, 3600103, 3600097
",,NY0303000,"NEW YORK, NY",,"New York, NY",,40.7127281,-74.006015,"New York, New York, USA"
77,3611000,c-us-ny-buf,s-us-ny,36,n-us,11000,978764,Buffalo,H1G2YP82NM52,NY,Buffalo city,New York,Northeast,Middle Atlantic,Northeast,"Buffalo, New York",c-us-ny-buf,279445,268843,"274,001 - 320,000",3611000,278349,LAUCT361100000000003,,,,,,,,NY0140100,"BUFFALO, NY",,"Buffalo, NY",,42.8867166,-78.878392,"Buffalo, New York, USA"
14,3918000,c-us-oh-cmh,s-us-oh,39,n-us,18000,1086101,Columbus,E212WH2HVV55,OH,Columbus city,Ohio,Midwest,East North Central,Midwest,"Columbus, Ohio",c-us-oh-cmh,907310,268843,"680,001 - 9,000,000",3918000,905748,LAUCT391800000000003,,,,,,,,OHCOP0000,"COLUMBUS, OH",,"Columbus, OH",,39.9622601,-83.000707,"Columbus, Ohio, USA"
54,3916000,c-us-oh-cle,s-us-oh,39,n-us,16000,1085963,Cleveland,PTV3L9YMEHY6,OH,Cleveland city,Ohio,Midwest,East North Central,Midwest,"Cleveland, Ohio",c-us-oh-cle,368006,268843,"320,001 - 480,000",3916000,372624,LAUCT391600000000003,,,,,,,,OHCLP0000,"CLEVELAND, OH",,"Cleveland, OH",,41.4996574,-81.693677,"Cleveland, Ohio, USA"
66,3915000,c-us-oh-cvg,s-us-oh,39,n-us,15000,1086201,Cincinnati,MALYJ97YANE5,OH,Cincinnati city,Ohio,Midwest,East North Central,Midwest,"Cincinnati, Ohio",c-us-oh-cvg,308913,268843,"274,001 - 320,000",3915000,309317,LAUCT391500000000003,,,,,,,,OHCIP0000,"CINCINNATI, OH",,"Cincinnati, OH",,39.1014537,-84.51246,"Cincinnati, Ohio, USA"
80,3977000,c-us-oh-tol,s-us-oh,39,n-us,77000,1086537,Toledo,TNJFH3L6JEC3,OH,Toledo city,Ohio,Midwest,East North Central,Midwest,"Toledo, Ohio",c-us-oh-tol,274146,263814,"0 - 274,000",3977000,270871,LAUCT397700000000003,,,,,,,,OH0480700,"TOLEDO, OH",,"Toledo, OH",,41.6529143,-83.537817,"Toledo, Ohio, USA"
22,4055000,c-us-ok-okc,s-us-ok,40,n-us,55000,2411311,Oklahoma City,NPR1KDL2HNP1,OK,Oklahoma City city,Oklahoma,South,West South Central,South Central,"Oklahoma City, Oklahoma",c-us-ok-okc,#N/A,263814,"680,001 - 9,000,000",4055000,681054,LAUCT405500000000003,,,,,,,,OK0550600,"OKLAHOMA CITY, OK",,"Oklahoma City, OK",,35.4729886,-97.517054,"Oklahoma City, Oklahoma, USA"
47,4075000,c-us-ok-tul,s-us-ok,40,n-us,75000,2412110,Tulsa,NG8FKKNYSEV5,OK,Tulsa city,Oklahoma,South,West South Central,South Central,"Tulsa, Oklahoma",c-us-ok-tul,411905,263814,"320,001 - 480,000",4075000,413066,LAUCT407500000000003,,,,,,,,OK0720500,"TULSA, OK",,"Tulsa, OK",,36.1563122,-95.992752,"Tulsa, Oklahoma, USA"
25,4159000,c-us-or-pdx,s-us-or,41,n-us,59000,2411471,Portland,N5NMTXG2UE65,OR,Portland city,Oregon,West,Pacific,Pacific West,"Portland, Oregon",c-us-or-pdx,646776,263814,"480,001 - 680,000",4159000,652503,LAUCT415900000000003,,,,,,,,OR0260200,"PORTLAND, OR",,"Portland, OR",,45.5202471,-122.67419,"Portland, Oregon, USA"
6,4260000,c-us-pa-phl,s-us-pa,42,n-us,60000,1215531,Philadelphia,K3LGS8BABNH9,PA,Philadelphia city,Pennsylvania,Northeast,Middle Atlantic,Northeast,"Philadelphia, Pennsylvania",c-us-pa-phl,1576251,263814,"680,001 - 9,000,000",4260000,1603797,LAUCT426000000000003,,,,,,,,PAPEP0000,"PHILADELPHIA, PA",,"Philadelphia, PA",,39.9527237,-75.163526,"Philadelphia, Pennsylvania, USA"
69,4261000,c-us-pa-pit,s-us-pa,42,n-us,61000,1214818,Pittsburgh,MNM2NPJ8GVF3,PA,Pittsburgh city,Pennsylvania,Northeast,Middle Atlantic,Northeast,"Pittsburgh, Pennsylvania",c-us-pa-pit,300454,263814,"274,001 - 320,000",4261000,302971,LAUCT426100000000003,,,,,,,,PAPPD0000,"PITTSBURGH, PA",,"Pittsburgh, PA",,40.4416941,-79.990086,"Pittsburgh, Pennsylvania, USA"
57,7276770,c-pr--sju,r-pr-,72,n-us,76770,2414943,San Juan,VALRBEGEKCM8,PR,San Juan zona urbana,Puerto Rico,U.S. Territory,U.S. Territory,U.S. Territory,"San Juan, Puerto Rico",c-pr--sju,#N/A,#N/A,"320,001 - 480,000",7276770,322854,LAUMT724198000000003,,,,,,,,,"SAN JUAN, PR",,"San Juan, PR",,18.38691,-66.06073,#N/A
111,4459000,c-us-ri-pvd,s-us-ri,44,n-us,59000,2411471,Providence,LDP9SE34XE61,RI,Providence city,Rhode Island,Northeast,New England,Northeast,,,#N/A,189697,,4459000,190934,LAUCT445900000000003,,,,,,,,RI0040900,"PROVIDENCE, RI",,"Providence, RI",,41.824,-71.42095,
113,4513330,c-us-sc-chs,s-us-sc,45,n-us,13330,2404030,Charleston,DFAMMXJFS5E3,SC,Charleston city,South Carolina,South,South Atlantic,South Atlantic,"Charleston, South Carolina",c-us-sc-chs,#N/A,152046,,4513330,143151,LAUCT451333000000003,,,Charleston County,Charleston County,"Charleston County, SC",,45019,SC0100100,"CHARLESTON, SC",Charleston,"Charleston, SC",,32.81222,-79.96117,"Charleston, South Carolina, USA"
110,4659020,c-us-sd-fsd,s-us-sd,46,n-us,59020,1267566,Sioux Falls,YRPLVUUZ1FN5,SD,Sioux Falls city,South Dakota,Midwest,West North Central,Midwest,,,#N/A,196528,,4659020,192517,LAUCT465902000000003,43620,7760,,,,,,SD0490200,"SIOUX FALLS, SD",,"Sioux Falls, SD",,43.54068,-96.73192,
21,4752006,c-us-tn-bna,s-us-tn,47,n-us,52006,2405092,Nashville,LGZLHP6ZHM55,TN,Nashville-Davidson metropolitan government (balance),Tennessee,South,East South Central,South Central,"Nashville, Tennessee",c-us-tn-bna,678845,263814,"480,001 - 680,000",4752006,689447,LAUCT475200400000003,,,,,,,,TN0190100,"NASHVILLE, TN",,"Nashville, TN",,36.1622767,-86.774298,"Nashville, Tennessee, USA"
28,4748000,c-us-tn-mem,s-us-tn,47,n-us,48000,2405068,Memphis,LSWERD3XLNU8,TN,Memphis city,Tennessee,South,East South Central,South Central,"Memphis, Tennessee",c-us-tn-mem,628577,263814,"480,001 - 680,000",4748000,633104,LAUCT474800000000003,,,,,,,,TNMPD0000,"MEMPHIS, TN",,"Memphis, TN",,35.1460249,-90.051764,"Memphis, Tennessee, USA"
,4714000,c-us-tn-cha,s-us-tn,47,n-us,14000,2404035,Chattanooga,XG59NFSC1GD1,TN,Chattanooga city,Tennessee,South,East South Central,South Central,"Chattanooga, Tennessee",c-us-tn-cha,182111,263814,,4714000,182803,LAUCT471400000000003,,,Hamilton County,Hamilton County,"Hamilton County, TN",,47065,TN0330100,"CHATTANOOGA, TN",,"Chattanooga, TN","Chattanooga, TN",35.06839,-85.24887,"Chattanooga, Tennessee, USA"
4,4835000,c-us-tx-hou,s-us-tx,48,n-us,35000,2410796,Houston,H8Q4KLPE1WV3,TX,Houston city,Texas,South,West South Central,South Central,"Houston, Texas",c-us-tx-hou,2287047,263814,"680,001 - 9,000,000",4835000,2304580,LAUCT483500000000003,,,,,,"4823640 (main district), Extra districts: 4800264 (charter district), 4841100, 4800209, 4807710",,TXHPD0000,"HOUSTON, TX",,"Houston, TX",,29.7589382,-95.367697,"Houston, Texas, USA"
7,4865000,c-us-tx-sat,s-us-tx,48,n-us,65000,2411774,San Antonio,LC5QCFLLCDJ4,TX,San Antonio city,Texas,South,West South Central,South Central,"San Antonio, Texas",c-us-tx-sat,1451863,254190,"680,001 - 9,000,000",4865000,1434625,LAUCT486500000000003,41700,7240,,,,,,TXSPD0000,"SAN ANTONIO, TX",,"San Antonio, TX",,29.4246002,-98.495141,"San Antonio, Texas, USA"
9,4819000,c-us-tx-dal,s-us-tx,48,n-us,19000,2410288,Dallas,XP53F2W6RLF4,TX,Dallas city,Texas,South,West South Central,South Central,"Dallas, Texas",c-us-tx-dal,1288441,263814,"680,001 - 9,000,000",4819000,1304379,LAUCT481900000000003,,,,,,,,TXDPD0000,"DALLAS, TX",,"Dallas, TX",,32.7762719,-96.796856,"Dallas, Texas, USA"
11,4805000,c-us-tx-aus,s-us-tx,48,n-us,05000,2409761,Austin,J3H8J7BZLAK6,TX,Austin city,Texas,South,West South Central,South Central,"Austin, Texas",c-us-tx-aus,964000,263814,"680,001 - 9,000,000",4805000,961855,LAUCT480500000000003,,,,,,,,TX2270100,"AUSTIN, TX",,"Austin, TX",,30.2711286,-97.7437,"Austin, Texas, USA"
13,4827000,c-us-tx-fwt,s-us-tx,48,n-us,27000,2410531,Fort Worth,ENS6MKS1ZL18,TX,Fort Worth city,Texas,South,West South Central,South Central,"Fort Worth, Texas",c-us-tx-fwt,940437,263814,"680,001 - 9,000,000",4827000,918915,LAUCT482700000000003,,,,,,,,TX2201200,"FORT WORTH, TX",,"Fort Worth, TX",,32.753177,-97.332746,"Fort Worth, Texas, USA"
23,4824000,c-us-tx-elp,s-us-tx,48,n-us,24000,2410414,El Paso,KLZGKXNFVTL4,TX,El Paso city,Texas,South,West South Central,South Central,"El Paso, Texas",c-us-tx-elp,670050,263814,"480,001 - 680,000",4824000,678815,LAUCT482400000000003,21340,2320,,,,,,TX0710200,"EL PASO, TX",,"El Paso, TX",,31.7550511,-106.48823,"El Paso, Texas, USA"
50,4804000,c-us-tx-arj,s-us-tx,48,n-us,04000,2409731,Arlington,M9S6A9ZTVB11,TX,Arlington city,Texas,South,West South Central,South Central,"Arlington, Texas",c-us-tx-arj,392802,263814,"320,001 - 480,000",4804000,394266,LAUCT480400000000003,,,,,,,,TX2200100,"ARLINGTON, TX",,"Arlington, TX",,32.7355816,-97.107119,"Arlington, Texas, USA"
60,4817000,c-us-tx-crp,s-us-tx,48,n-us,17000,2410234,Corpus Christi,XETBTPKCL895,TX,Corpus Christi city,Texas,South,West South Central,South Central,"Corpus Christi, Texas",c-us-tx-crp,320456,263814,"274,001 - 320,000",4817000,317863,LAUCT481700000000003,18580,1880,,,,,,TX1780200,"CORPUS CHRISTI, TX",,"Corpus Christi, TX",,27.7635302,-97.403319,"Corpus Christi, Texas, USA"
75,4858016,c-us-tx-plz,s-us-tx,48,n-us,58016,2411437,Plano,HUEQNTT7HE67,TX,Plano city,Texas,South,West South Central,South Central,"Plano, Texas",c-us-tx-plz,285439,254190,"274,001 - 320,000",4858016,285494,LAUCT485801600000003,,,,,,,,TX0430600,"PLANO, TX",,"Plano, TX",,33.0136764,-96.69251,"Plano, Texas, USA"
87,4845000,c-us-tx-lbb,s-us-tx,48,n-us,45000,2410892,Lubbock,LXDNEKWRVKJ6,TX,Lubbock city,Texas,South,West South Central,South Central,"Lubbock, Texas",c-us-tx-lbb,258214,258214,"0 - 274,000",4845000,257141,LAUCT484500000000003,31180,4600,,,,,,TX1520200,"LUBBOCK, TX",,"Lubbock, TX",,33.5855677,-101.84702,"Lubbock, Texas, USA"
88,4837000,c-us-tx-irt,s-us-tx,48,n-us,37000,2410117,Irving,M69VQ23H8Y17,TX,Irving city,Texas,South,West South Central,South Central,"Irving, Texas",c-us-tx-irt,#N/A,263814,"0 - 274,000",4837000,256684,LAUCT483700000000003,,,,,,,,TX0571500,"IRVING, TX",,"Irving, TX",,32.8295183,-96.944218,"Irving, Texas, USA"
89,4841464,c-us-tx-lrd,s-us-tx,48,n-us,41464,2411626,Laredo,Y5MTUNLGB2P5,TX,Laredo city,Texas,South,West South Central,South Central,"Laredo, Texas",c-us-tx-lrd,254190,254190,"0 - 274,000",4841464,255205,LAUCT484146400000003,29700,4080,,,,,,TX2400100,"LAREDO, TX",,"Laredo, TX",,27.5030915,-99.507564,"Laredo, Texas, USA"
93,4829000,c-us-tx-grx,s-us-tx,48,n-us,29000,2410572,Garland,F2DLUDKRCN98,TX,Garland city,Texas,South,West South Central,South Central,"Garland, Texas",c-us-tx-grx,242754,263814,"0 - 274,000",4829000,246018,LAUCT482900000000003,,,,,,,,TX0571100,"GARLAND, TX",,"Garland, TX",,32.912624,-96.638883,"Garland, Texas, USA"
109,4967000,c-us-ut-slc,s-us-ut,49,n-us,67000,2411771,Salt Lake City,GDCZJRRXKSM3,UT,Salt Lake City city,Utah,West,Mountain,Mountain West,,,#N/A,200475,,4967000,199723,LAUCT496700000000003,,,,,,,,UT0180300,"SALT LAKE CITY, UT",,"Salt Lake City, UT",,40.77755,-111.93131,
43,5182000,c-us-va-vab,s-us-va,51,n-us,82000,1498559,Virginia Beach,U9K4XAWZFX87,VA,Virginia Beach city,Virginia,South,South Atlantic,South Atlantic,"Virginia Beach, Virginia",c-us-va-vab,456063,104523,"320,001 - 480,000",5182000,459470,LAUCT518200000000003,,,,,,,,VA1280000,"VIRGINIA BEACH, VA",,"Virginia Beach, VA",,36.8529841,-75.977418,"Virginia Beach, Virginia, USA"
91,5116000,c-us-va-ufg,s-us-va,51,n-us,16000,1498558,Chesapeake,GLBPCNCAQ4S4,VA,Chesapeake city,Virginia,South,South Atlantic,South Atlantic,"Chesapeake, Virginia",c-us-va-ufg,250337,104523,"0 - 274,000",5116000,249422,LAUCT511600000000003,,,,,,,,VA1030000,"CHESAPEAKE, VA",,"Chesapeake, VA",,36.7183708,-76.24668,"Chesapeake, Virginia, USA"
95,5103000,c-us-va-arp,s-us-va,51,n-us,03000,2389148,Arlington,V9LLM9AGRPB7,VA,Arlington CDP,Virginia,South,South Atlantic,South Atlantic,"Arlington, Virginia",c-us-va-arp,237457,104523,"0 - 274,000",5103000,238643,LAUCN510130000000003,,,,,,,,VA0070100,"ARLINGTON, VA",,"Arlington, VA",,38.8769326,-77.089309,"Arlington, Virginia, USA"
96,5157000,c-us-va-orf,s-us-va,51,n-us,57000,1498557,Norfolk,RS6DCM873FA3,VA,Norfolk city,Virginia,South,South Atlantic,South Atlantic,"Norfolk, Virginia",c-us-va-orf,235089,104523,"0 - 274,000",5157000,238005,LAUCT515700000000003,,,,,,,,VA1170000,"NORFOLK, VA",,"Norfolk, VA",,36.8448348,-76.2864,"Norfolk, Virginia, USA"
102,5167000,c-us-va-ric,s-us-va,51,n-us,67000,1789073,Richmond,EG4LF5GYLK81,VA,Richmond city,Virginia,South,South Atlantic,South Atlantic,"Richmond, Virginia",c-us-va-ric,222194,104523,"0 - 274,000",5167000,226610,LAUCT516700000000003,,,,,,,,VA1220000,"RICHMOND, VA",,"Richmond, VA",,37.52953,-77.47558,"Richmond, Virginia, USA"
122,5010675,c-us-vt-btv,s-us-vt,50,n-us,10675,1462060,Burlington,NLGQG6KK7791,VT,Burlington city,Vermont,Northeast,New England,Northeast,,,#N/A,NA,,5010675,44743,LAUCT501067500000003,,,,,,,,VT0040100,"BURLINGTON, VT",,"Burlington, VT",,44.48738,-73.2313,
18,5363000,c-us-wa-sea,s-us-wa,53,n-us,63000,2411856,Seattle,V6NCY5EV6AY6,WA,Seattle city,Washington,West,Pacific,Pacific West,"Seattle, Washington",c-us-wa-sea,733904,104523,"680,001 - 9,000,000",5363000,737015,LAUCT536300000000003,,,,,,,,WASPD0000,"SEATTLE, WA",,"Seattle, WA",,47.6038321,-122.33006,"Seattle, Washington, USA"
99,5367000,c-us-wa-geg,s-us-wa,53,n-us,67000,2411956,Spokane,HCUXB4WPKD19,WA,Spokane city,Washington,West,Pacific,Pacific West,"Spokane, Washington",c-us-wa-geg,227523,104523,"0 - 274,000",5367000,228989,LAUCT536700000000003,,,,,,,,WA0320400,"SPOKANE, WA",,"Spokane, WA",,47.6571934,-117.42351,"Spokane, Washington, USA"
105,5370000,c-us-wa-tiw,s-us-wa,53,n-us,70000,2412025,Tacoma,YUWKM2N6N4G4,WA,Tacoma city,Washington,West,Pacific,Pacific West,"Tacoma, Washington",c-us-wa-tiw,219203,104523,"0 - 274,000",5370000,219346,LAUCT537000000000003,,,,,,,,WA0270300,"TACOMA, WA",,"Tacoma, WA",,47.2423,-122.45439,"Tacoma, Washington, USA"
31,5553000,c-us-wi-mke,s-us-wi,55,n-us,53000,1583724,Milwaukee,JYGKV746MNG2,WI,Milwaukee city,Wisconsin,Midwest,East North Central,Midwest,"Milwaukee, Wisconsin",c-us-wi-mke,569326,104523,"480,001 - 680,000",5553000,577222,LAUCT555300000000003,,,,,,,,WIMPD0000,"MILWAUKEE, WI",,"Milwaukee,WI",,43.0349931,-87.922497,"Milwaukee, Wisconsin, USA"
81,5548000,c-us-wi-msn,s-us-wi,55,n-us,48000,1583625,Madison,FS3AZ3FV8JG8,WI,Madison city,Wisconsin,Midwest,East North Central,Midwest,"Madison, Wisconsin",c-us-wi-msn,273138,104523,"0 - 274,000",5548000,269840,LAUCT554800000000003,,,,,,,,WI0130100,"MADISON, WI",,"Madison,WI",,43.074761,-89.383761,"Madison, Wisconsin, USA"
121,5414600,c-us-wv-crw,s-us-wv,54,n-us,14600,2390575,Charleston,FN2TCKTCFG37,WV,Charleston city,West Virginia,South,South Atlantic,South Atlantic,,,#N/A,NA,,5414600,48864,LAUCT541460000000003,,,,,,,,WV0200200,"CHARLESTON, WV",,"Charleston, WV",,38.34807,-81.63219,
120,5613900,c-us-wy-cys,s-us-wy,56,n-us,13900,2409445,Cheyenne,KURKMKZUFMY2,WY,Cheyenne city,Wyoming,West,Mountain,Mountain West,,,#N/A,65048,,5613900,65132,LAUCT561390000000003,16940,1580,,,,,,WY0110100,"CHEYENNE, WY",,"Cheyenne, WY",,41.13846,-104.78442,